District|% Voter Increase|% Budget increase|12th Grade Dist Enrollment 2004-5
"HARRISON HILLS CITY SD"|1.2212389380530972|1.4378318989196117|156
"READING COMMUNITY CITY SD"|1.0380952380952382|1.2843932280552|113
"KENTON CITY SD"|1.183168316831683|0.5735979131730948|166
"FOSTORIA CITY SD"|1.246031746031746|0.7476484272276727|133
"KETTERING CITY SD"|1.026993865030675|0.524324915272767|569
"HUBER HEIGHTS CITY SD"|1.032258064516129|0.9778447823807027|469
"NEWARK CITY SD"|1.110723626852659|1.255461592670895|365
"WEST CARROLLTON CITY SD"|1.005249343832021|1.1005982367758187|274
"BRUNSWICK CITY SD"|0.9493927125506073|0.5022068095838588|557
"BELLEFONTAINE CITY SD"|1.0168269230769231|1.208842739909563|204
"YOUNGSTOWN CITY SD"|1.1869510664993725|1.0938840666467127|535
"TOLEDO CITY SD"|1.2000632611102324|1.2429009193054137|2
"SYLVANIA CITY SD"|1.1357615894039734|1.2136297728371195|660
"MARION CITY SD"|1.0768175582990398|1.2027972027972027|365
"MAUMEE CITY SD"|1.2298387096774193|0.4165468774956077|232
"TROTWOOD-MADISON CITY SD"|1.360655737704918|1.1755223880597014|149
"MIAMISBURG CITY SD"|1.121593291404612|0.9270639693821761|334
"NORTHMONT CITY SD"|1.0102432778489117|0.5043166274245992|461
"CENTERVILLE CITY SD"|1.0784929356357928|1.157789079229122|648
"PIQUA CITY SD"|1.125|1.1474019088016967|305
"LONDON CITY SD"|1.0545454545454545|1.0021551724137931|142
"ZANESVILLE CITY SD"|1.063621533442088|1.227794132575373|243
"DAYTON CITY SD"|1.2232809683234613|0.5954545454545455|279
"ELYRIA CITY SD"|1.1542904290429044|1.3208086973107|392
"OBERLIN CITY SD"|3.767326732673267|1.0645010516475812|73
"LORAIN CITY SD"|1.1333333333333333|1.144386797659786|459
"VANDALIA-BUTLER CITY SD"|1.088183421516755|1.0116731517509727|285
"WADSWORTH CITY SD"|0.9026946107784432|1.0963165430170507|420
"WAVERLY CITY SD"|1.2|1.4476793971570474|162
"MEDINA CITY SD"|0.9787234042553191|0.5284673074891729|577
"CIRCLEVILLE CITY SD"|0.9726443768996961|1.3717676452217364|190
"REYNOLDSBURG CITY SD"|0.946969696969697|1.4059057828481512|444
"NORTH RIDGEVILLE CITY SD"|0.7714285714285715|1.2845566103264645|231
"STRUTHERS CITY SD"|1.072289156626506|1.417616580310881|156
"PORT CLINTON CITY SD"|1.049792531120332|1.0472786684366384|163
"HEATH CITY SD"|0.9836734693877551|1.3081550802139037|104
"TROY CITY SD"|0.9769975786924939|0.4907895874772983|348
"CELINA CITY SD"|1.0987654320987654|1.006171648987464|286
"OREGON CITY SD"|1.1071428571428572|1.1840558820268323|293
"AVON LAKE CITY SD"|0.9072398190045249|1.1511965693733572|248
"NEW LEXINGTON CITY SD"|1.1818181818181819|1.2617263843648208|136
"CAMPBELL CITY SD"|1.031413612565445|0.9712799638172772|103
"SPRINGBORO COMMUNITY CITY SD"|0.7357774968394437|0.45790359154414456|291
"OAKWOOD CITY SD"|1.0046948356807512|1.1879281935651722|139
"SOUTH-WESTERN CITY SD"|1.0|1.0161943319838056|1
"CUYAHOGA FALLS CITY SD"|1.0534351145038168|0.518491509532243|367
"NORDONIA HILLS CITY SD"|1.080906148867314|1.2496705227705374|264
"STREETSBORO CITY SD"|1.1403061224489797|0.583956492182189|139
"BOWLING GREEN CITY SD"|1.5054187192118227|0.42479788123780315|283
"AKRON CITY SD"|1.1925925925925926|0.4165841018215075|2
"PORTSMOUTH CITY SD"|1.0778032036613272|1.237396639103761|107
"FREMONT CITY SD"|1.0473083197389885|0.5297790109999009|325
"WOOSTER CITY SD"|1.3697368421052631|0.6284229895010283|321
"TIFFIN CITY SD"|1.1056511056511056|1.236236802413273|215
"CANTON CITY SD"|1.1964038727524204|1.186024439435283|799
"WARREN CITY SD"|1.11829134720701|1.22156916347731|402
"SIDNEY CITY SD"|1.0361663652802893|1.0115346858638743|200
"STOW-MUNROE FALLS CITY SD"|1.0535353535353535|1.0084393200998454|501
"LEBANON CITY SD"|0.9635890767230169|1.014629280727031|337
"TALLMADGE CITY SD"|0.9379652605459057|1.410102437301307|225
"BARBERTON CITY SD"|1.158215010141988|1.1547605308713214|288
"CHILLICOTHE CITY SD"|1.0691056910569106|1.1487916394513389|283
"KENT CITY SD"|1.526742301458671|1.1745644599303136|321
"NEW PHILADELPHIA CITY SD"|0.9819819819819819|1.2060897435897435|247
"TWINSBURG CITY SD"|1.0420650095602295|1.2169167803547067|300
"LOUISVILLE CITY SD"|1.1303116147308783|1.1332400769365274|215
"BELPRE CITY SD"|0.9813953488372092|1.26079869600652|106
"MARIETTA CITY SD"|1.0769230769230769|1.261126176423672|243
"DOVER CITY SD"|1.033639143730887|1.1274720038122468|213
"MANSFIELD CITY SD"|1.0672588832487309|1.3377762188705717|349
"VAN WERT CITY SD"|1.1404109589041096|1.0184417737256528|163
"BRYAN CITY SD"|0.9743589743589743|1.0968188105117567|180
"ORRVILLE CITY SD"|1.1363636363636365|1.1502875065342395|129
"NORTON CITY SD"|1.0505415162454874|0.6604460628129267|181
"MASSILLON CITY SD"|1.1917808219178083|0.6646207401978746|305
"NORTH CANTON CITY SD"|1.0442600276625174|1.2665880767935331|441
"NILES CITY SD"|1.127659574468085|1.3516429622363904|209
"CLAYMONT CITY SD"|0.8431372549019608|1.392326499905962|156
"FRANKLIN CITY SD"|1.0609756097560976|0.5610670386191265|208
"COPLEY-FAIRLAWN CITY SD"|0.940959409594096|0.49500299820107935|286
"AURORA CITY SD"|1.0150943396226415|1.389592123769339|174
"SHELBY CITY SD"|1.2336065573770492|1.139156841729189|188
"GIRARD CITY SD"|1.1023622047244095|1.080597368732962|139
